,article_name,monthly_viewcount,day,year,month,peak_date
441,Roots_(2016_miniseries),165073,2,2016,6,2016-06-02
442,Bob_Ross,164910,9,2016,6,2016-06-09
443,Tupac_Shakur,164758,16,2016,6,2016-06-16
444,Mexico,164611,9,2016,6,2016-06-09
445,Kate_Beckinsale,164121,1,2016,6,2016-06-01
446,Michael_Phelps,163833,30,2016,6,2016-06-30
447,UEFA_Euro_2000,163622,10,2016,6,2016-06-10
448,Bitcoin,163464,24,2016,6,2016-06-24
449,Apple_Inc.,163442,20,2016,6,2016-06-20
450,Soviet_Union,163255,14,2016,6,2016-06-14
451,Fast_8,163069,16,2016,6,2016-06-16
452,List_of_countries_by_GDP_(PPP)_per_capita,163037,24,2016,6,2016-06-24
453,DC_Universe_Animated_Original_Movies,162664,8,2016,6,2016-06-08
454,Ottoman_Empire,162602,2,2016,6,2016-06-02
455,ADO_Den_Haag,162587,3,2016,6,2016-06-03
456,The_Purge,162484,30,2016,6,2016-06-30
457,Sam_Claflin,162072,3,2016,6,2016-06-03
458,Mark_Hunt,161615,6,2016,6,2016-06-06
459,The_Divergent_Series:_Allegiant,161475,18,2016,6,2016-06-18
460,International_Standard_Book_Number,161359,8,2016,6,2016-06-08
461,2010_FIFA_World_Cup,161306,27,2016,6,2016-06-27
462,Greenland,161252,24,2016,6,2016-06-24
463,Republic_of_Ireland_national_football_team,160679,13,2016,6,2016-06-13
464,Kim_Kardashian,160555,17,2016,6,2016-06-17
465,List_of_Dragon_Ball_Super_episodes,160482,26,2016,6,2016-06-26
466,Pretty_Little_Liars_(TV_series),160467,22,2016,6,2016-06-22
